Number,ID,Description
42006,202401/9e66067a-8d48-4dbb-84fe-270dbe57291e,"Clomiphene citrate is indicated for the treatment of ovulatory dysfunction in women desiring pregnancy. Impediments to achieving pregnancy must be excluded or adequately treated before beginning clomiphene citrate therapy. Those patients most likely to achieve success with clomiphene therapy include patients with polycystic ovary syndrome (see WARNINGS : Ovarian Hyperstimulation Syndrome ), amenorrhea-galactorrhea syndrome, psychogenic amenorrhea, post-oral-contraceptive amenorrhea, and certain cases of secondary amenorrhea of undetermined etiology. Properly timed coitus in relationship to ovulation is important. A basal body temperature graph or other appropriate tests may help the patient and her physician determine if ovulation occurred. Once ovulation has been established, each course of clomiphene citrate should be started on or about the 5th day of the cycle. Long-term cyclic therapy is not recommended beyond a total of about six cycles (including three ovulatory cycles). (See DOSAGE AND ADMINISTRATION and PRECAUTIONS .) Clomiphene citrate is indicated only in patients with demonstrated ovulatory dysfunction who meet the conditions described below: 1. Patients who are not pregnant. 2. Patients without ovarian cysts. Clomiphene citrate should not be used in patients with ovarian enlargement except those with polycystic ovary syndrome. Pelvic examination is necessary prior to the first and each subsequent course of clomiphene citrate treatment. 3. Patients without abnormal vaginal bleeding. If abnormal vaginal bleeding is present, the patient should be carefully evaluated to ensure that neoplastic lesions are not present. 4. Patients with normal liver function. In addition, patients selected for clomiphene citrate therapy should be evaluated in regard to the following: 1. Estrogen Levels . Patients should have adequate levels of endogenous estrogen (as estimated from vaginal smears, endometrial biopsy, assay of urinary estrogen, or from bleeding in response to progesterone). Reduced estrogen levels, while less favorable, do not preclude successful therapy. 2. Primary Pituitary or Ovarian Failure . Clomiphene citrate therapy cannot be expected to substitute for specific treatment of other causes of ovulatory failure. 3. Endometriosis and Endometrial Carcinoma . The incidence of endometriosis and endometrial carcinoma increases with age as does the incidence of ovulatory disorders. Endometrial biopsy should always be performed prior to clomiphene citrate therapy in this population. 4. Other Impediments to Pregnancy . Impediments to pregnancy can include thyroid disorders, adrenal disorders, hyperprolactinemia, and male factor infertility. 5. Uterine Fibroids . Caution should be exercised when using clomiphene citrate in patients with uterine fibroids due to the potential for further enlargement of the fibroids. There are no adequate or well-controlled studies that demonstrate the effectiveness of clomiphene citrate in the treatment of male infertility. In addition, testicular tumors and gynecomastia have been reported in males using clomiphene. The cause and effect relationship between reports of testicular tumors and the administration of clomiphene citrate is not known. Although the medical literature suggests various methods, there is no universally accepted standard regimen for combined therapy (i.e., clomiphene citrate in conjunction with other ovulation-inducing drugs). Similarly, there is no standard clomiphene citrate regimen for ovulation induction in vitro fertilization programs to produce ova for fertilization and reintroduction. Therefore, clomiphene citrate is not recommended for these uses."
13948,202102/bb121b51-beb1-7343-e053-2995a90aed1b,"Paroxetine tablets, USP are indicated for the treatment of major depressive disorder. The efficacy of paroxetine tablets, USP in the treatment of a major depressive episode was established in 6-week controlled trials of outpatients whose diagnoses corresponded most closely to the DSM-III category of major depressive disorder (see CLINICAL PHARMACOLOGY —Clinical Trials ). A major depressive episode implies a prominent and relatively persistent depressed or dysphoric mood that usually interferes with daily functioning (nearly every day for at least 2 weeks); it should include at least 4 of the following 8 symptoms: Change in appetite, change in sleep, psychomotor agitation or retardation, loss of interest in usual activities or decrease in sexual drive, increased fatigue, feelings of guilt or worthlessness, slowed thinking or impaired concentration, and a suicide attempt or suicidal ideation. The effects of paroxetine tablets, USP in hospitalized depressed patients have not been adequately studied. The efficacy of paroxetine tablets, USP in maintaining a response in major depressive disorder for up to 1 year was demonstrated in a placebo-controlled trial (see CLINICAL PHARMACOLOGY —Clinical Trials ). Nevertheless, the physician who elects to use paroxetine tablets, USP for extended periods should periodically re-evaluate the long-term usefulness of the drug for the individual patient."
23774,202212/3a0ace67-c888-489d-ba8b-ec5ef9e2402d,"Symptomatic Trichomoniasis. Metronidazole tablets USP is indicated for the treatment of T. vaginalis infection in females and males when the presence of the trichomonad has been confirmed by appropriate laboratory procedures (wet smears and/or cultures). Asymptomatic Trichomoniasis. Metronidazole tablets USP is indicated in the treatment of asymptomatic T. vaginalis infection in females when the organism is associated with endocervicitis, cervicitis, or cervical erosion. Since there is evidence that presence of the trichomonad can interfere with accurate assessment of abnormal cytological smears, additional smears should be performed after eradication of the parasite. Treatment of Asymptomatic Sexual Partners. T. vaginalis infection is a venereal disease. Therefore, asymptomatic sexual partners of treated patients should be treated simultaneously if the organism has been found to be present, in order to prevent reinfection of the partner. The decision as to whether to treat an asymptomatic male partner who has a negative culture or one for whom no culture has been attempted is an individual one. In making this decision, it should be noted that there is evidence that a woman may become reinfected if her sexual partner is not treated. Also, since there can be considerable difficulty in isolating the organism from the asymptomatic male carrier, negative smears and cultures cannot be relied upon in this regard. In any event, the sexual partner should be treated with metronidazole tablets USP in cases of reinfection. Amebiasis. Metronidazole tablets USP is indicated in the treatment of acute intestinal amebiasis (amebic dysentery) and amebic liver abscess. In amebic liver abscess, metronidazole tablets USP therapy does not obviate the need for aspiration or drainage of pus. Anaerobic Bacterial Infections. Metronidazole tablets USP is indicated in the treatment of serious infections caused by susceptible anaerobic bacteria. Indicated surgical procedures should be performed in conjunction with metronidazole tablets USP therapy. In a mixed aerobic and anaerobic infection, antimicrobials appropriate for the treatment of the aerobic infection should be used in addition to metronidazole tablets USP. INTRA-ABDOMINAL INFECTIONS, including peritonitis, intra-abdominal abscess, and liver abscess, caused by Bacteroides species including the B. fragilis group ( B. fragilis, B. distasonis, B. ovatus, B. thetaiotaomicron, B. vulgatus ), Clostridium species, Eubacterium species, Peptococcus species, and Peptostreptococcus species. SKIN AND SKIN STRUCTURE INFECTIONS caused by Bacteroides species including the B. fragilis group, Clostridium species, Peptococcus species, Peptostreptococcus species, and Fusobacterium species. GYNECOLOGIC INFECTIONS, including endometritis, endomyometritis, tubo-ovarian abscess, and postsurgical vaginal cuff infection, caused by Bacteroides species including the B. fragilis group, Clostridium species, Peptococcus species, Peptostreptococcus species, and Fusobacterium species. BACTERIAL SEPTICEMIA caused by Bacteroides species including the B. fragilis group and Clostridium species. BONE AND JOINT INFECTIONS, (as adjunctive therapy), caused by Bacteroides species including the B. fragilis group. CENTRAL NERVOUS SYSTEM (CNS) INFECTIONS, including meningitis and brain abscess, caused by Bacteroides species including the B. fragilis group. LOWER RESPIRATORY TRACT INFECTIONS, including pneumonia, empyema, and lung abscess, caused by Bacteroides species including the B. fragilis group. ENDOCARDITIS caused by Bacteroides species including the B. fragilis group. To reduce the development of drug-resistant bacteria and maintain the effectiveness of metronidazole tablets USP and other antibacterial drugs, metronidazole tablets USP should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
3168,201204/749af379-2de0-4644-ae06-e8b03d863582,"Promethazine hydrochloride tablets are useful for:    Perennial and seasonal allergic rhinitis.    Vasomotor rhinitis.    Allergic conjunctivitis due to inhalant allergens and foods.    Mild, uncomplicated allergic skin manifestations of urticaria and angioedema.    Amelioration of allergic reactions to blood or plasma.    Dermographism.    Anaphylactic reactions as adjunctive therapy to epinephrine and other standard measures after the acute manifestations have been controlled.    Preoperative, postoperative and obstetric sedation.    Prevention and control of nausea and vomiting associated with certain types of anesthesia and surgery.    Therapy adjunctive to meperidine or other analgesics for control of postoperative pain.    Sedation in both children and adults as well as relief of apprehension and production of light sleep from which the patient can be easily aroused.    Active and prophylactic treatment of motion sickness.    Antiemetic therapy in postoperative patients."
21130,202208/e6591c11-be30-dd6f-e053-2995a90a766e,Bortezomib for injection is a proteasome inhibitor indicated for: treatment of adult patients with multiple myeloma ( 1.1 ) treatment of adult patients with mantle cell lymphoma ( 1.2 )
1915,201104/6e8f9e57-8376-4ce5-8ef0-50b3dd3e1168,"Vancomycin is indicated for the treatment of serious or severe infections caused by susceptible strains of methicillin-resistant (beta-lactam-resistant) staphylococci. It is indicated for penicillin-allergic patients, for patients who cannot receive or who have failed to respond to other drugs, including the penicillins or cephalosporins, and for infections caused by vancomycin-susceptible organisms that are resistant to other antimicrobial drugs. Vancomycin is indicated for initial therapy when methicillin-resistant staphylococci are suspected, but after susceptibility data are available, therapy should be adjusted accordingly. Vancomycin hydrochloride is effective in the treatment of staphylococcal endocarditis. Its effectiveness has been documented in other infections due to staphylococci, including septicemia, bone infections, lower respiratory tract infections, and skin and skin-structure infections. When staphylococcal infections are localized and purulent, antibiotics are used as adjuncts to appropriate surgical measures. Vancomycin hydrochloride has been reported to be effective alone or in combination with an aminoglycoside for endocarditis caused by S. viridans or S. bovis . For endocarditis caused by enterococci (e.g., E. faecalis ), vancomycin hydrochloride has been reported to be effective only in combination with an aminoglycoside. Vancomycin has been reported to be effective for the treatment of diphtheroid endocarditis. Vancomycin has been used successfully in combination with either rifampin, an aminoglycoside, or both in early-onset prosthetic valve endocarditis caused by S. epidermidis or diphtheroids. Specimens for bacteriologic cultures should be obtained in order to isolate and identify causative organisms and to determine their susceptibilities to vancomycin. The parenteral form of Sterile Vancomycin Hydrochloride may be administered orally for treatment of antibiotic-associated pseudomembranous colitis produced by C. difficile and for staphylococcal enterocolitis. Parenteral administration of vancomycin hydrochloride alone is of unproven benefit for these indications. Vancomycin is not effective by the oral route for other types of infection. To reduce the development of drug-resistant bacteria and maintain the effectiveness of vancomycin and other antibacterial drugs, vancomycin should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
19655,202205/d807f196-f1f8-0a8f-e053-2a95a90aab8d,Sevelamer carbonate tablet is indicated for the control of serum phosphorus in adults and children 6 years of age and older with chronic kidney disease (CKD) on dialysis.
32197,202307/f7e90e69-fe05-4699-8d2e-a888e11fe1da,"Medroxyprogesterone acetate injectable suspension is indicated for use by females of reproductive potential to prevent pregnancy. Limitations of Use : The use of medroxyprogesterone acetate injectable suspension is not recommended as a long-term (i.e., longer than 2 years) birth control method unless other options are considered inadequate [see  Dosage and Administration (2.1) and Warnings and Precautions (5.1) ]."
9725,201908/2ec6751e-3479-4bef-a1fb-42b30c837186,"Hydrocodone bitartrate and acetaminophen tablets are indicated for the management of pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate. Limitations of Use Because of the risks of addiction, abuse, and misuse, with opioids, even at recommended doses [see WARNINGS ], reserve hydrocodone bitartrate and acetaminophen tablets for use in patients for whom alternative treatment options (e.g., non-opioid analgesics): have not been tolerated, or are not expected to be tolerated, have not provided adequate analgesia, or are not expected to provide adequate analgesia."
42784,202401/fa7c6286-e50e-4bc7-946b-dcfab84efe4e,"Hypothyroidism Levothyroxine sodium tablets are indicated as a replacement therapy in primary (thyroidal), secondary (pituitary) and tertiary (hypothalamic) congenital or acquired hypothyroidism. Pituitary Thyrotropin (Thyroid-Stimulating Hormone, TSH) Suppression Levothyroxine sodium tablets are indicated as an adjunct to surgery and radioiodine therapy in the management of thyrotropin-dependent well-differentiated thyroid cancer. Limitations of Use: • Levothyroxine sodium tablets are not indicated for suppression of benign thyroid nodules and nontoxic diffuse goiter in iodine-sufficient patients as there are no clinical benefits and overtreatment with levothyroxine sodium tablets may induce hyperthyroidism [see Warnings and Precautions (5.4)]. • Levothyroxine sodium tablets are not indicated for treatment of hypothyroidism during the recovery phase of subacute thyroiditis."
,202312/0cf4a4b6-9e6b-dc85-e063-6394a90a2762,"APOKYN (apomorphine hydrochloride injection) is indicated for the acute, intermittent treatment of hypomobility, ""off"" episodes (""end-of-dose wearing off"" and unpredictable ""on/off"" episodes) in patients with advanced Parkinson's disease. APOKYN has been studied as an adjunct to other medications [see Clinical Studies (14) ] ."
,201711/eaf0e72d-d713-4f40-a19c-d67f043dae73,"Chlorhexidine gluconate oral rinse is indicated for use between dental visits as part of a professional program for the treatment of gingivitis as characterized by redness and swelling of the gingivae, including gingival bleeding upon probing. Chlorhexidine gluconate oral rinse has not been tested among patients with acute necrotizing ulcerative gingivitis (ANUG). For patients having coexisting gingivitis and periodontitis, see PRECAUTIONS ."
,202211/ed392b6a-91d2-0d86-e053-2995a90ab8c1,"1.1 Monotherapy Epilepsy Topiramate tablets are indicated as initial monotherapy for the treatment of partial-onset or primary generalized tonic-clonic seizures in patients 2 years of age and older. 1.2 Adjunctive Therapy Epilepsy Topiramate tablets are indicated as adjunctive therapy for the treatment of partial-onset seizures, primary generalized tonic-clonic seizures, and seizures associated with Lennox-Gastaut syndrome in patients 2 years of age and older. 1.3 Migraine Topiramate tablets are indicated for the preventive treatment of migraine in patients 12 years of age and older."
,201402/42c39262-6a30-42e7-a2a8-5b1b98a0c851,"Ergocalciferol Capsules, USP are indicated for use in the treatment of hypoparathyroidism, refractory rickets, also known as vitamin D resistant rickets, and familial hypophosphatemia."
,202108/78872c13-1caa-4a0f-9f5e-995fcfb35e73,"Hypertension Quinapril tablets are indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes including the class to which this drug principally belongs. There are no controlled trials demonstrating risk reduction with quinapril tablets. Control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessation, exercise, and limited sodium intake. Many patients will require more than one drug to achieve blood pressure goals. For specific advice on goals and management, see published guidelines, such as those of the National High Blood Pressure Education Program�s Joint National Committee on Prevention, Detection, Evaluation, and Treatment of High Blood Pressure (JNC). Numerous antihypertensive drugs, from a variety of pharmacologic classes and with different mechanisms of action, have been shown in randomized controlled trials to reduce cardiovascular morbidity and mortality, and it can be concluded that it is blood pressure reduction, and not some other pharmacologic property of the drugs, that is largely responsible for those benefits. The largest and most consistent cardiovascular outcome benefit has been a reduction in the risk of stroke, but reductions in myocardial infarction and cardiovascular mortality also have been seen regularly. Elevated systolic or diastolic pressure causes increased cardiovascular risk, and the absolute risk increase per mmHg is greater at higher blood pressures, so that even modest reductions of severe hypertension can provide substantial benefit. Relative risk reduction from blood pressure reduction is similar across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (for example, patients with diabetes or hyperlipidemia), and such patients would be expected to benefit from more aggressive treatment to a lower blood pressure goal. Some antihypertensive drugs have smaller blood pressure effects (as monotherapy) in black patients, and many antihypertensive drugs have additional approved indications and effects (e.g., on angina, heart failure, or diabetic kidney disease). These considerations may guide selection of therapy. Quinapril tablets may be used alone or in combination with thiazide diuretics. Heart Failure Quinapril tablets are indicated in the management of heart failure as adjunctive therapy when added to conventional therapy including diuretics and/or digitalis. In using quinapril tablets, consideration should be given to the fact that another ACE inhibitor, captopril, has caused agranulocytosis, particularly in patients with renal impairment or collagen vascular disease. Available data are insufficient to show that quinapril tablets do not have a similar risk (see WARNINGS ). Angioedema in black patients : Black patients receiving ACE inhibitor monotherapy have been reported to have a higher incidence of angioedema compared to non-blacks. It should also be noted that in controlled clinical trials ACE inhibitors have an effect on blood pressure that is less in black patients than in non-blacks."
,202203/f85591e3-60f7-46b4-b12d-f0c53e726d3f,"Phenytoin Infatabs are indicated for the treatment of generalized tonic-clonic (grand mal) and complex partial (psychomotor, temporal lobe) seizures and prevention and treatment of seizures occurring during or following neurosurgery."
,201503/82336c41-20d2-4de4-8a30-334352650bf9,"Treatment of Hypercholesterolemia Fenofibrate tablets, USP are indicated as adjunctive therapy to diet to reduce elevated LDL-C, Total-C, Triglycerides and Apo B, and to increase HDL-C in adult patients with primary hypercholesterolemia or mixed dyslipidemia (Fredrickson Types IIa and IIb). Lipid-altering agents should be used in addition to a diet restricted in saturated fat and cholesterol when response to diet and non-pharmacological interventions alone has been inadequate (See National Cholesterol Education Program [NCEP] Treatment Guidelines, below). Treatment of Hypertriglyceridemia Fenofibrate tablets, USP are also indicated as adjunctive therapy to diet for treatment of adult patients with hypertriglyceridemia (Fredrickson Types IV and V hyperlipidemia). Improving glycemic control in diabetic patients showing fasting chylomicronemia will usually reduce fasting triglycerides and eliminate chylomicronemia thereby obviating the need for pharmacologic intervention. Markedly elevated levels of serum triglycerides (e.g. &gt; 2,000 mg/dL) may increase the risk of developing pancreatitis. The effect of fenofibrate tablet, USP therapy on reducing this risk has not been adequately studied. Drug therapy is not indicated for patients with Type I hyperlipoproteinemia, who have elevations of chylomicrons and plasma triglycerides, but who have normal levels of very low density lipoprotein (VLDL). Inspection of plasma refrigerated for 14 hours is helpful in distinguishing Types I, IV and V hyperlipoproteinemia2. The initial treatment for dyslipidemia is dietary therapy specific for the type of lipoprotein abnormality. Excess body weight and excess alcoholic intake may be important factors in hypertriglyceridemia and should be addressed prior to any drug therapy. Physical exercise can be an important ancillary measure. Diseases contributory to hyperlipidemia, such as hypothyroidism or diabetes mellitus should be looked for and adequately treated. Estrogen therapy, thiazide diuretics and beta-blockers, are sometimes associated with massive rises in plasma triglycerides, especially in subjects with familial hypertriglyceridemia. In such cases, discontinuation of the specific etiologic agent may obviate the need for specific drug therapy of hypertriglyceridemia. The use of drugs should be considered only when reasonable attempts have been made to obtain satisfactory results with non-drug methods. If the decision is made to use drugs, the patient should be instructed that this does not reduce the importance of adhering to diet. (See WARNINGS and PRECAUTIONS). Please review the manufacturer's complete information (studies, figures, tables) here:http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a9c5062d-e8ad-44e7-a709-af0092f73d52"
,202303/f7f9db2c-5af3-8675-e053-6394a90a4e42,"Metoprolol succinate, is a beta-adrenergic blocker indicated for the treatment of: � Hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and non-fatal cardiovascular events, primarily strokes and myocardial infarctions. ( 1.1 ) � Angina Pectoris. ( 1.2 ) � Heart Failure, to reduce the risk of cardiovascular mortality and heart failure hospitalizations in patients with heart failure ( 1.3 )"
,202305/1c833e1f-b99b-4f19-b59e-d4aa049c2427,"Metronidazole Injection, USP is indicated in the treatment of serious infections caused by susceptible anaerobic bacteria. Indicated surgical procedures should be performed in conjunction with Metronidazole Injection, USP therapy. In a mixed aerobic and anaerobic infection, antibiotics appropriate for the treatment of the aerobic infection should be used in addition to Metronidazole Injection, USP. Metronidazole Injection, USP is effective in Bacteroides fragilis infections resistant to clindamycin, chloramphenicol and penicillin. Intra-Abdominal Infections , including peritonitis, intra-abdominal abscess and liver abscess, caused by Bacteroides species including the B. fragilis group ( B. fragilis , B. distasonis , B. ovatus , B. thetaiotaomicron , B. vulgatus ), Clostridium species, Eubacterium species, Peptococcus species and Peptostreptococcus species. Skin and Skin Structure Infections caused by Bacteroides species including the B. fragilis group, Clostridium species, Peptococcus species, Peptostreptococcus species and Fusobacterium species. Gynecologic Infections , including endometritis, endomyometritis, tubo-ovarian abscess and postsurgical vaginal cuff infection, caused by Bacteroides species including the B. fragilis group, Clostridium species, Peptococcus species, Peptostreptococcus species and Fusobacterium species. Bacterial Septicemia caused by Bacteroides species including the B. fragilis group and Clostridium species. Bone and Joint Infections , as adjunctive therapy, caused by Bacteroides species including the B. fragilis group. Central Nervous System (CNS) Infections , including meningitis and brain abscess, caused by Bacteroides species including the B. fragilis group. Lower Respiratory Tract Infections , including pneumonia, empyema and lung abscess, caused by Bacteroides species including the B. fragilis group. Endocarditis caused by Bacteroides species including the B. fragilis group."
,202311/f66ffaf8-843a-63aa-9b00-489e63230098,"Ziprasidone capsules are indicated for the treatment of schizophrenia, as monotherapy for the acute treatment of bipolar manic or mixed episodes, and as an adjunct to lithium or valproate for the maintenance treatment of bipolar disorder. When deciding among the alternative treatments available for the condition needing treatment, the prescriber should consider the finding of ziprasidone�s greater capacity to prolong the QT/QTc interval compared to several other antipsychotic drugs [see� Warnings and Precautions ( 5.3 ) ]. Prolongation of the QTc interval is associated in some other drugs with the ability to cause torsade de pointes-type arrhythmia, a potentially fatal polymorphic ventricular tachycardia, and sudden death. In many cases this would lead to the conclusion that other drugs should be tried first. Whether ziprasidone will cause torsade de pointes or increase the rate of sudden death is not yet known [see Warnings and Precautions ( 5.3 ) ] Schizophrenia Ziprasidone capsules are indicated for the treatment of schizophrenia in adults [see Clinical Studies ( 14.1 ) ]. Bipolar I Disorder (Acute Mixed or Manic Episodes and Maintenance Treatment as an Adjunct to Lithium or Valproate) Ziprasidone capsules are indicated as monotherapy for the acute treatment of adults with manic or mixed episodes associated with bipolar I disorder [see Clinical Studies ( 14.2 )]. Ziprasidone capsules are indicated as an adjunct to lithium or valproate for the maintenance treatment of bipolar I disorder in adults [see Clinical Studies ( 14.2 ) ]."
,202312/0c7f12d6-6532-87b3-e063-6394a90abd35,Butalbital and Acetaminophen Tablets are indicated for the relief of the symptom complex of tension (or muscle contraction) headache. Evidence supporting the efficacy and safety of this combination product in the treatment of multiple recurrent headaches is unavailable. Caution in this regard is required because butalbital is habit-forming and potentially abusable.
,202302/5a7c5bc2-f9f6-4852-8d67-a17c08a074e4,"Pravastatin sodium tablet is indicated: To reduce the risk of myocardial infarction, myocardial revascularization procedures, and cardiovascular mortality in adults with elevated low-density lipoprotein cholesterol (LDL-C) without clinically evident coronary heart disease (CHD). To reduce the risk of coronary death, myocardial infarction, myocardial revascularization procedures, stroke or transient ischemic attack, and slow the progression of coronary atherosclerosis in adults with clinically evident CHD. As an adjunct to diet to reduce LDL-C in adults with primary hyperlipidemia. As an adjunct to diet to reduce LDL-C in pediatric patients ages 8 years and older with heterozygous familial hypercholesterolemia (HeFH). As an adjunct to diet for the treatment of adults with: Primary dysbetalipoproteinemia Hypertriglyceridemia"
,202302/da82b6af-3e64-5b9f-e053-2a95a90a8b31,"Sildenafil tablets are indicated for the treatment of pulmonary arterial hypertension (WHO Group I) in adults to improve exercise ability and delay clinical worsening. The delay in clinical worsening was demonstrated when sildenafil tablets were added to background epoprostenol therapy [ see Clinical Studies (14) ]. Studies establishing effectiveness were short-term (12 to 16 weeks), and included predominately patients with New York Heart Association (NYHA) Functional Class II-III symptoms and idiopathic etiology (71%) or associated with connective tissue disease (CTD) (25%). Limitation of Use: Adding sildenafil to bosentan therapy does not result in any beneficial effect on exercise capacity [ see Clinical Studies ( 14 ) ]."
,202104/aff05ead-3677-44df-ad8f-4120542086ab,"Alendronate sodium is a bisphosphonate indicated for: Treatment and prevention of osteoporosis in postmenopausal women ( 1.1 , 1.2 ) Treatment to increase bone mass in men with osteoporosis ( 1.3 ) Treatment of glucocorticoid-induced osteoporosis ( 1.4 ) Treatment of Paget's disease of bone ( 1.5 ) �Limitations of use: Optimal duration of use has not been determined. For patients at low- risk for fracture, consider drug discontinuation after 3 to 5 years of use. (1.6)"
,202209/9b142aa6-eb1d-409c-bbed-aa567e0ed3e8,"Gabapentin is � indicated for: Management of postherpetic neuralgia in adults Adjunctive therapy in the treatment of partial onset seizures, with and without secondary generalization, in adults and pediatric patients 3 years and older with epilepsy"
,,
,,
,,
,,
,,
